number,title,url
1,"'패스 마스터' 김민재, 최고 평점 2점+""뮌헨 최고의 선수·카이저"" 극찬...팀도 마인츠 3-1 꺾고 8G 무패",https://sports.naver.com/news?oid=109&aid=0004951514
2,충격적인 '텐 하흐 경질 시' 후임 후보...'인수 승자' 랫클리프 측이 원한다,https://sports.naver.com/news?oid=117&aid=0003781430
3,"""황희찬은 과소평가된 선수!"" 현지 기자의 극찬...황희찬, 결승골 AS+상대 퇴장 유도→울버햄튼은 본머스에 2-1 역전승",https://sports.naver.com/news?oid=411&aid=0000036264
4,PSG에서 살아남는 법...MF로는 실패→풀백 변경 후 '1골 1AS' 최고의 활약,https://sports.naver.com/news?oid=411&aid=0000036268
5,"""솔로몬 응원용도 안돼"" 토트넘, 이스라엘 국기 반입 금지…풀럼전, 불필요한 '선동'에 긴장",https://sports.naver.com/news?oid=076&aid=0004069041
6,"손흥민에 밀린 토트넘 실패작, '자국' 네덜란드에서도 방출 위기",https://sports.naver.com/news?oid=411&aid=0000036259
7,"""그만 놀려! 수준 떨어진다!""…도 넘은 조롱에 해설 도중 대폭발 ""선수를 밈으로 만들지 마세요""",https://sports.naver.com/news?oid=311&aid=0001652356
8,"이미 SON에게 반했던 메디슨, ""레스터에서 뛸 때 먼저 악수 요청...매일 꼭 안아주고 싶은 친구""",https://sports.naver.com/news?oid=117&aid=0003781451
9,"'패스 성공률 100%+역대 2위 레전드' 뮌헨 황제 김민재, 팀은 마인츠 3-1 꺾고 '8경기 무패'",https://sports.naver.com/news?oid=477&aid=0000456459
10,"이강인, 복귀하자마자 풀타임 활약… ‘음바페 1골 1도움’ PSG, 스트라스부르에 3-0 완승→ 선두 탈환 시동",https://sports.naver.com/news?oid=139&aid=0002191604
